Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 23:50:00, 2086.00, 2086.00, 2085.75, 2086.00, 155, 94, 61, 94
2016/6/22, 23:55:00, 2086.25, 2086.50, 2086.00, 2086.50, 199, 87, 43, 156
2016/6/23, 00:00:00, 2086.25, 2086.50, 2086.00, 2086.50, 279, 127, 68, 211
2016/6/23, 00:05:00, 2086.50, 2086.75, 2086.25, 2086.50, 224, 110, 117, 107
2016/6/23, 00:10:00, 2086.50, 2086.50, 2086.25, 2086.50, 183, 86, 57, 126
2016/6/23, 00:15:00, 2086.25, 2086.50, 2086.25, 2086.25, 14, 11, 13, 1
2016/6/23, 00:20:00, 2086.25, 2086.75, 2086.25, 2086.75, 79, 57, 17, 62
2016/6/23, 00:25:00, 2086.75, 2086.75, 2086.50, 2086.50, 94, 68, 63, 31
2016/6/23, 00:30:00, 2086.50, 2086.50, 2086.25, 2086.50, 105, 62, 86, 19
2016/6/23, 00:35:00, 2086.25, 2086.50, 2086.25, 2086.25, 147, 86, 63, 84
2016/6/23, 00:40:00, 2086.25, 2086.25, 2086.00, 2086.00, 91, 51, 75, 16
2016/6/23, 00:45:00, 2086.00, 2086.25, 2085.75, 2086.25, 139, 83, 81, 58
2016/6/23, 00:50:00, 2086.25, 2086.50, 2086.00, 2086.25, 142, 83, 46, 96
2016/6/23, 00:55:00, 2086.25, 2086.50, 2086.25, 2086.25, 31, 24, 14, 17
2016/6/23, 01:00:00, 2086.25, 2086.75, 2086.00, 2086.25, 151, 102, 66, 85
2016/6/23, 01:05:00, 2086.50, 2086.75, 2086.25, 2086.50, 58, 40, 20, 38
2016/6/23, 01:10:00, 2086.50, 2086.75, 2086.25, 2086.50, 109, 57, 69, 40
2016/6/23, 01:15:00, 2086.50, 2087.00, 2086.50, 2087.00, 295, 165, 112, 183
2016/6/23, 01:20:00, 2087.00, 2087.25, 2086.75, 2086.75, 182, 111, 71, 111
2016/6/23, 01:25:00, 2086.75, 2087.00, 2086.25, 2086.25, 209, 138, 135, 74
2016/6/23, 01:30:00, 2086.25, 2086.75, 2086.25, 2086.75, 124, 72, 35, 89
2016/6/23, 01:35:00, 2086.75, 2088.25, 2086.50, 2088.00, 1362, 604, 278, 1084
2016/6/23, 01:40:00, 2087.75, 2089.25, 2087.75, 2089.25, 1249, 563, 311, 938
2016/6/23, 01:45:00, 2089.00, 2090.75, 2089.00, 2089.50, 3023, 1409, 1038, 1985
2016/6/23, 01:50:00, 2089.50, 2089.75, 2089.00, 2089.50, 554, 260, 256, 298
2016/6/23, 01:55:00, 2089.50, 2089.50, 2088.50, 2088.50, 662, 350, 487, 175
2016/6/23, 02:00:00, 2088.75, 2089.25, 2088.25, 2089.00, 1194, 563, 453, 741
2016/6/23, 02:05:00, 2089.00, 2089.50, 2088.50, 2089.00, 665, 329, 391, 274
2016/6/23, 02:10:00, 2088.75, 2088.75, 2086.75, 2088.25, 2648, 1253, 1613, 1035
2016/6/23, 02:15:00, 2088.50, 2089.50, 2088.25, 2089.25, 704, 372, 217, 487
2016/6/23, 02:20:00, 2089.00, 2089.25, 2088.50, 2089.25, 1089, 477, 588, 501
2016/6/23, 02:25:00, 2089.00, 2089.25, 2088.50, 2088.50, 979, 417, 600, 379
2016/6/23, 02:30:00, 2088.50, 2088.75, 2087.75, 2088.25, 1012, 443, 605, 407
2016/6/23, 02:35:00, 2088.00, 2088.25, 2087.50, 2088.00, 1032, 441, 573, 459
2016/6/23, 02:40:00, 2087.75, 2088.00, 2087.25, 2087.50, 1439, 544, 895, 544
2016/6/23, 02:45:00, 2087.75, 2088.00, 2086.00, 2086.25, 1279, 563, 870, 409
2016/6/23, 02:50:00, 2086.25, 2086.75, 2085.75, 2086.00, 1371, 629, 691, 680
2016/6/23, 02:55:00, 2086.00, 2086.50, 2085.50, 2085.75, 1040, 562, 694, 346
2016/6/23, 03:00:00, 2085.75, 2086.75, 2084.50, 2086.00, 5482, 3109, 2902, 2580
2016/6/23, 03:05:00, 2086.00, 2087.50, 2086.00, 2087.00, 2285, 1431, 1074, 1211
2016/6/23, 03:10:00, 2087.00, 2088.25, 2087.00, 2087.50, 2797, 1439, 996, 1801
2016/6/23, 03:15:00, 2087.75, 2088.25, 2086.50, 2088.25, 2381, 1415, 1075, 1306
2016/6/23, 03:20:00, 2088.50, 2088.75, 2087.25, 2088.25, 4273, 2344, 2205, 2068
2016/6/23, 03:25:00, 2088.50, 2088.50, 2086.50, 2087.00, 1991, 1167, 1163, 828
2016/6/23, 03:30:00, 2087.25, 2087.75, 2086.00, 2086.50, 2982, 1823, 1702, 1280
